Fuzz Attempt Nr.,Date and Time,Iteration Nr.,Exit Code,Output Messages,Action Sequence,Map File Name,Map File Type,Map File Custom Attribute,Absolute Map File Path,Relative Map File Path
2,23-06-2023 21:54,103,10,More than one player,SWE,map_103.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_103.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_103.txt
2,23-06-2023 21:54,104,10,More than one player,SWE,map_104.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_104.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_104.txt
2,23-06-2023 21:54,105,10,More than one player,SWE,map_105.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_105.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_105.txt
2,23-06-2023 21:54,106,10,More than one player,SWE,map_106.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_106.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_106.txt
2,23-06-2023 21:54,107,10,More than one player,SWE,map_107.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_107.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_107.txt
2,23-06-2023 21:54,108,10,More than one player,SWE,map_108.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_108.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_108.txt
2,23-06-2023 21:54,109,10,More than one player,SWE,map_109.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_109.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_109.txt
2,23-06-2023 21:54,110,10,More than one player,SWE,map_110.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_110.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_110.txt
2,23-06-2023 21:54,111,10,More than one player,SWE,map_111.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_111.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_111.txt
2,23-06-2023 21:54,112,10,More than one player,SWE,map_112.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_112.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_112.txt
2,23-06-2023 21:54,113,10,More than one player,SWE,map_113.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_113.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_113.txt
2,23-06-2023 21:54,114,10,More than one player,SWE,map_114.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_114.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_114.txt
2,23-06-2023 21:54,115,10,More than one player,SWE,map_115.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_115.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_115.txt
2,23-06-2023 21:54,116,10,More than one player,SWE,map_116.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_116.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_116.txt
2,23-06-2023 21:54,117,10,More than one player,SWE,map_117.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_117.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_117.txt
2,23-06-2023 21:54,118,10,More than one player,SWE,map_118.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_118.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_118.txt
2,23-06-2023 21:54,119,10,More than one player,SWE,map_119.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_119.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_119.txt
2,23-06-2023 21:54,120,10,No food,SWE,map_120.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_120.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_120.txt
2,23-06-2023 21:54,121,10,More than one player,SWE,map_121.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_121.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_121.txt
2,23-06-2023 21:54,122,10,More than one player,SWE,map_122.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_122.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_122.txt
2,23-06-2023 21:54,123,10,More than one player,SWE,map_123.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_123.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_123.txt
2,23-06-2023 21:54,124,10,More than one player,SWE,map_124.txt,.txt (Unformatted Text Document),None,C:/ST/JPacmanFuzz/fuzzresults/maps/previous_maps\run_2/exitcode10_rejected/map_124.txt,fuzzresults/maps/previous_maps/run_2/exitcode10_rejected/map_124.txt
